w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.0,1006.07548698,805.73020678,579.326941855,1298.15303082,826.489175231
1.002,1005.48818486,805.191157683,578.842757956,1297.45910312,826.017483352
1.004,1004.90117728,804.652511767,578.358951576,1296.76548831,825.546044603
1.006,1004.31446425,804.114269032,577.875522715,1296.07218639,825.074858982
1.008,1003.72804576,803.576429477,577.392471373,1295.37919736,824.60392649
1.01,1003.14192183,803.038993104,576.90979755,1294.68652122,824.133247126
1.012,1002.55609244,802.501959911,576.427501247,1293.99415798,823.662820892
1.014,1001.97055759,801.9653299,575.945582463,1293.30210762,823.192647786
1.016,1001.38531729,801.429103069,575.464041199,1292.61037016,822.72272781
1.018,1000.80037154,800.893279419,574.982877454,1291.91894559,822.253060962
1.02,1000.21572034,800.35785895,574.502091228,1291.22783391,821.783647243
1.022,999.631363677,799.822841661,574.021682521,1290.53703512,821.314486652
1.024,999.047301564,799.288227554,573.541651333,1289.84654922,820.845579191
1.026,998.463533998,798.754016628,573.061997665,1289.15637621,820.376924858
1.028,997.880060979,798.220208882,572.582721516,1288.4665161,819.908523654
1.03,997.296882506,797.686804317,572.103822887,1287.77696887,819.44037558
1.032,996.71399858,797.153802933,571.625301777,1287.08773454,818.972480633
1.034,996.1314092,796.62120473,571.147158186,1286.39881309,818.504838816
1.036,995.549114366,796.089009708,570.669392114,1285.71020454,818.037450128
1.038,994.967114079,795.557217867,570.192003562,1285.02190888,817.570314568
1.04,994.385408339,795.025829207,569.714992529,1284.33392611,817.103432137
1.042,993.803997145,794.494843727,569.238359015,1283.64625623,816.636802835
1.044,993.222880497,793.964261429,568.76210302,1282.95889924,816.170426662
1.046,992.642058396,793.434082311,568.286224545,1282.27185515,815.704303618
1.048,992.061530841,792.904306374,567.810723589,1281.58512394,815.238433702
1.05,991.481297833,792.374933618,567.335600153,1280.89870563,814.772816916
1.052,990.901359372,791.845964043,566.860854235,1280.2126002,814.307453258
1.054,990.321715456,791.317397649,566.386485837,1279.52680767,813.842342729
1.056,989.742366088,790.789234435,565.912494958,1278.84132803,813.377485329
1.058,989.163311265,790.261474403,565.438881599,1278.15616128,812.912881058
1.06,988.584550989,789.734117551,564.965645759,1277.47130742,812.448529915
1.062,988.00608526,789.207163881,564.492787438,1276.78676646,811.984431901
